id,message,urgency_level,urgency_score,service_type,timestamp
169,"I'm 7 months pregnant and I just slipped on the stairs, I fell on my stomach, I have severe lower abdominal pain and I think I'm bleeding a little, I feel the baby isn't moving like before",urgent,3,EMS,2025-09-16T18:35:42.528Z
170,"There's a fire starting in my kitchen, I tried to extinguish it with water but it's getting worse, there's a lot of black smoke coming from the oven, I evacuated my children but I don't know if I should stay",urgent,3,Fire Department,2025-10-02T06:21:01.871Z
171,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,EMS,2025-09-25T10:09:38.960Z
172,"My nose is running and I'm sneezing a lot since this morning, I think I'm starting a cold, what do you recommend I take?",low,1,Medical advice,2025-10-04T21:41:53.531Z
173,"I wanted to share that I'm learning to play guitar and I finally managed to play a full song without stopping, it feels great",none,0,Community line,2025-09-15T14:35:03.768Z
174,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,On-call doctor,2025-09-25T07:35:15.566Z
175,"Hi, I'm just calling to let you know I saw a beautiful sunset today while walking my dog in the park, it was really peaceful",none,0,N/A,2025-10-07T09:42:47.217Z
176,"I smell a very strong gas odor throughout my apartment for the past 10 minutes, I opened the windows but it still smells just as strong, I'm afraid it will explode, what should I do?",urgent,3,EMS,2025-09-21T17:35:20.014Z
177,"My nose is running and I'm sneezing a lot since this morning, I think I'm starting a cold, what do you recommend I take?",low,1,Health hotline,2025-09-17T11:30:00.386Z
178,"I've had severe stomach pain since this morning, I've vomited several times and have diarrhea, I think it's food poisoning, I ate seafood last night",moderate,2,Fire Department,2025-09-11T05:29:57.792Z
179,"Hello, I found a really good parking spot at the grocery store today on my first try, which never happens",none,0,N/A,2025-09-26T20:41:51.836Z
180,"I'm reaching out to tell you about the nice conversation I had with the mailman today, he's such a pleasant person",none,0,General info,2025-09-22T06:22:51.908Z
181,"Hello yes, I'm at shopping mall, there's a fire, the flames are already on the second floor and I'm trapped on the third with my children, smoke is everywhere, we can't get out through the stairs!",critical,4,EMS,2025-09-27T02:13:25.415Z
182,"I'm reaching out to tell you about the nice conversation I had with the mailman today, he's such a pleasant person",none,0,N/A,2025-10-06T12:31:57.503Z
183,"Hello yes, I'm at train station, there's a fire, the flames are already on the second floor and I'm trapped on the third with my children, smoke is everywhere, we can't get out through the stairs!",critical,4,Police,2025-09-24T04:41:50.488Z
184,"I'm witnessing a serious accident on ring road, a car hit a truck head-on, there's blood everywhere, the driver isn't moving, the windshield is shattered and there's gasoline leaking",critical,4,Fire Department,2025-09-21T08:02:27.188Z
185,"I'd like to have information on how to take my medications, I have a prescription but I don't understand well when I should take them in relation to meals",low,1,Local police,2025-09-29T07:13:56.965Z
186,"My teenage son swallowed all the medications from the medicine cabinet, I just found him unconscious in his room with the empty boxes next to him, he's barely breathing",critical,4,Fire Department,2025-10-06T22:30:40.215Z
187,"My daughter has had ear pain since last night, she's pulling on them and crying a bit, I think it might be an ear infection, can I wait until Monday to see the doctor or should I consult now?",low,1,Health hotline,2025-09-17T16:19:45.500Z
188,"Hello, I wanted to share that I finally finished reading that book I started last month, it was quite interesting",none,0,N/A,2025-09-18T23:50:36.974Z
189,"There's a burglary in progress at my neighbor's house, I hear noise and voices, I see shadows with flashlights through the window, I think there are several of them",urgent,3,Police,2025-09-15T03:29:17.355Z
190,"There's a small fire in the trash bin outside behind my building, it's been burning for 10 minutes but it's contained for now, however there's smoke rising and it could spread",moderate,2,Police,2025-09-25T16:39:21.839Z
191,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,EMS,2025-09-25T16:41:21.680Z
192,"My nose is running and I'm sneezing a lot since this morning, I think I'm starting a cold, what do you recommend I take?",low,1,Medical advice,2025-10-02T17:32:41.928Z
193,"There's been a very violent argument at my neighbors' for an hour, I hear screaming, objects breaking and the woman crying, I don't know if I should intervene",moderate,2,Police,2025-09-24T20:21:22.329Z
194,"Just wanted to mention that I tried a new recipe for dinner tonight and it turned out pretty good, the family enjoyed it",none,0,Community line,2025-10-02T08:52:41.787Z
195,"My husband got stung by a wasp 30 minutes ago and his arm has really swollen up a lot, he's had allergic reactions before but never this strong, he says it's hard to swallow",moderate,2,Fire Department,2025-09-17T19:20:55.994Z
196,"I smell a very strong gas odor throughout my apartment for the past 10 minutes, I opened the windows but it still smells just as strong, I'm afraid it will explode, what should I do?",urgent,3,Fire Department,2025-10-02T18:22:05.822Z
197,"There's been a collapse at the construction site where I work, several workers are buried under the rubble, we hear screams, there's dust everywhere and we can't see anything",critical,4,EMS,2025-09-15T00:19:24.412Z
198,"I've been feeling very tired for a week, I have no energy even after sleeping well, I wonder if I should get blood tests done",low,1,Medical advice,2025-10-03T09:38:50.938Z
199,"Hello, I'm calling about my 78-year-old mother, she fell down the stairs 20 minutes ago, she's in a lot of pain in her hip and can't get up, she's conscious but moaning in pain",urgent,3,Police,2025-10-09T16:11:15.113Z
200,"I'm reaching out to tell you about the nice conversation I had with the mailman today, he's such a pleasant person",none,0,Community line,2025-10-10T03:05:43.055Z
201,"I have a small superficial burn from cooking, it's just red without blisters, I put cold water on it, is there anything else I should do?",low,1,Medical advice,2025-10-01T12:18:37.685Z
202,"Hi, I'm just calling to let you know I saw a beautiful sunset today while walking my dog in the park, it was really peaceful",none,0,Community line,2025-09-23T08:17:36.148Z
203,"My neighbors have been making a lot of noise since midnight with loud music, I have to get up early tomorrow for work and I can't sleep, can you intervene?",low,1,Health hotline,2025-09-25T07:50:50.378Z
204,"Help us! My 8-month-old baby is choking on a piece of food, he's turning blue, I'm patting his back but nothing's coming out, he can't breathe at all!",critical,4,Fire Department,2025-09-24T18:36:19.271Z
205,"There was an explosion in my building at Maple neighborhood, I'm in the basement, there's debris everywhere, I'm trapped under a beam and my leg hurts badly, I think it's broken, I can feel blood flowing",critical,4,Fire Department,2025-09-11T21:51:00.335Z
206,"I'm calling to say that my neighbor's cat came to visit me this afternoon, she's so friendly and I gave her some treats",none,0,Community line,2025-10-02T06:43:07.901Z
207,"Hello, I wanted to share that I finally finished reading that book I started last month, it was quite interesting",none,0,General info,2025-09-23T00:19:38.332Z
208,"Just calling to say I organized my closet this afternoon and found some clothes I forgot I had, it was like shopping in my own home",none,0,Community line,2025-09-23T00:50:26.232Z
209,"Hello, I'm calling for medical advice, I've had a sore throat for 3 days and it's not getting better with the lozenges I took, I'm coughing a bit too, should I see a doctor?",low,1,Local police,2025-10-08T14:36:10.681Z
210,"Hi there, I noticed the flowers in my garden are starting to bloom, spring is definitely here and it looks lovely",none,0,N/A,2025-09-28T11:21:51.508Z
211,"Please come quickly, my husband just collapsed in front of me, he's not breathing, his mouth is blue, I tried to shake him but he doesn't react at all, I don't know how to do CPR!",critical,4,EMS,2025-09-18T13:36:52.379Z
212,"Help us! My 8-month-old baby is choking on a piece of food, he's turning blue, I'm patting his back but nothing's coming out, he can't breathe at all!",critical,4,Fire Department,2025-09-23T18:05:36.911Z
213,"Hello, I found a really good parking spot at the grocery store today on my first try, which never happens",none,0,Community line,2025-09-15T19:59:45.277Z
214,"I was just assaulted and robbed on the street near my home, they hit me several times in the face, my nose is bleeding and I have a broken tooth, I'm bleeding quite a bit from my mouth",urgent,3,EMS,2025-09-12T17:44:50.168Z
215,"There's a violent fight at the bottom of my building, I see from the window that there are at least 5 people fighting with baseball bats, there are already several on the ground not moving",urgent,3,EMS,2025-09-12T21:40:10.564Z
216,"I just had a motorcycle accident on Route 66 near Phoenix, I'm conscious but my right leg hurts a lot, I think it's broken, there's blood and my helmet is cracked, I'm on the side of the road",urgent,3,EMS,2025-09-22T11:00:37.653Z
217,"My colleague just had a medical emergency at work, he suddenly fainted during the meeting, he fell backwards and hit his head against the wall, he's not waking up",urgent,3,Police,2025-10-04T21:45:03.043Z
218,"I'm calling to say that my tomato plants are growing well this year, I'm hoping for a good harvest",none,0,General info,2025-09-23T20:32:52.600Z
